2	0.254355
3	0.178091
4	0.137487
5	0.112050
6	0.094570
7	0.081806
8	0.072070
9	0.064397
10	0.058194
11	0.053074
12	0.048775
13	0.045116
14	0.041963
15	0.039217
16	0.036806
17	0.034669
18	0.032764
19	0.031056
20	0.029514
21	0.028115
22	0.026840
23	0.025675
24	0.024605
25	0.023618
26	0.022709
27	0.021862
28	0.021076
29	0.020342
30	0.019659
31	0.019018
32	0.018416
33	0.017851
34	0.017317
35	0.016813
36	0.016340
37	0.015888
38	0.015462
39	0.015055
40	0.014675
41	0.014307
42	0.013954
43	0.013626
44	0.013305
45	0.013002
46	0.012712
47	0.012430
48	0.012165
49	0.011909
50	0.011664
51	0.011424
52	0.011195
53	0.010975
54	0.010764
55	0.010564
56	0.010370
57	0.010180
58	0.009990
59	0.009815
60	0.009645
61	0.009479
62	0.009318
63	0.009163
64	0.009016
65	0.008872
66	0.008727
67	0.008593
68	0.008455
69	0.008332
70	0.008204
71	0.008081
72	0.007962
73	0.007849
74	0.007735
75	0.007622
76	0.007517
77	0.007411
78	0.007311
79	0.007214
80	0.007113
81	0.007024
82	0.006932
83	0.006839
84	0.006750
85	0.006669
86	0.006588
87	0.006505
88	0.006421
89	0.006348
90	0.006274
91	0.006200
92	0.006121
93	0.006049
94	0.005984
95	0.005918
96	0.005845
97	0.005785
98	0.005720
99	0.005656
100	0.005596


2	0.683766
4	0.478466
6	0.380460
8	0.326822
10	0.292595
12	0.268340
14	0.249964
16	0.235402
18	0.223489
20	0.213504
22	0.204977
24	0.197583
26	0.191092
28	0.185332
30	0.180177
32	0.175527
34	0.171305
36	0.167448
38	0.163908
40	0.160642
42	0.157617
44	0.154806
46	0.152183
48	0.149729
50	0.147426
52	0.145259
54	0.143216
56	0.141285
58	0.139457
60	0.137722
62	0.136073
64	0.134502
66	0.133005
68	0.131575
70	0.130207
72	0.128898
74	0.127642
76	0.126437
78	0.125279
80	0.124166
82	0.123093
84	0.122060
86	0.121063
88	0.120101
90	0.119171
92	0.118272
94	0.117403
96	0.116560
98	0.115744
100	0.114953


2	0.915146
3	0.294093
4	0.108139
5	0.104861
6	0.076642
7	0.055665
8	0.043693
9	0.035004
10	0.028648
11	0.023886
12	0.020217
13	0.017332
14	0.015023
15	0.013147
16	0.011601
17	0.010313
18	0.009228
19	0.008305
20	0.007515
21	0.006832
22	0.006238
23	0.005718
24	0.005261
25	0.004856
26	0.004496
27	0.004175
28	0.003887
29	0.003628
30	0.003394
31	0.003182
32	0.002989
33	0.002813
34	0.002653
35	0.002505
36	0.002370
37	0.002245
38	0.002130
39	0.002023
40	0.001925
41	0.001833
42	0.001748
43	0.001669
44	0.001595
45	0.001525
46	0.001460
47	0.001399
48	0.001342
49	0.001288
50	0.001238
51	0.001190
52	0.001145
53	0.001103
54	0.001063
55	0.001025
56	0.000989
57	0.000955
58	0.000922
59	0.000892
60	0.000862
61	0.000835
62	0.000808
63	0.000783
64	0.000759
65	0.000736
66	0.000714
67	0.000693
68	0.000673
69	0.000654
70	0.000635
71	0.000617
72	0.000601
73	0.000584
74	0.000569
75	0.000554
76	0.000539
77	0.000526
78	0.000512
79	0.000499
80	0.000487
81	0.000475
82	0.000464
83	0.000453
84	0.000442
85	0.000432
86	0.000422
87	0.000412
88	0.000403
89	0.000394
90	0.000386
91	0.000377
92	0.000369
93	0.000361
94	0.000353
95	0.000346
96	0.000339
97	0.000332
98	0.000325
99	0.000319
100	0.000313


2	0.243781
3	0.225971
4	0.186526
5	0.162288
6	0.153366
7	0.151923
8	0.152622
9	0.153365
10	0.153741
