-5 1.6708e-02f
-4.99 1.5584e-02f
-4.98 1.4478e-02f
-4.97 1.3391e-02f
-4.96 1.2321e-02f
-4.95 1.1270e-02f
-4.94 1.0236e-02f
-4.93 9.2196e-03f
-4.92 8.2210e-03f
-4.91 7.2399e-03f
-4.9 6.2762e-03f
-4.89 5.3298e-03f
-4.88 4.4006e-03f
-4.87 3.4885e-03f
-4.86 2.5934e-03f
-4.85 1.7153e-03f
-4.84 8.5399e-04f
-4.83 9.4287e-06f
-4.82 -8.1848e-04f
-4.81 -1.6298e-03f
-4.8 -2.4247e-03f
-4.79 -3.2032e-03f
-4.78 -3.9655e-03f
-4.77 -4.7115e-03f
-4.76 -5.4415e-03f
-4.75 -6.1554e-03f
-4.74 -6.8535e-03f
-4.73 -7.5357e-03f
-4.72 -8.2022e-03f
-4.71 -8.8530e-03f
-4.7 -9.4883e-03f
-4.69 -1.0108e-02f
-4.68 -1.0713e-02f
-4.67 -1.1302e-02f
-4.66 -1.1876e-02f
-4.65 -1.2435e-02f
-4.64 -1.2978e-02f
-4.63 -1.3507e-02f
-4.62 -1.4021e-02f
-4.61 -1.4521e-02f
-4.6 -1.5006e-02f
-4.59 -1.5476e-02f
-4.58 -1.5931e-02f
-4.57 -1.6373e-02f
-4.56 -1.6800e-02f
-4.55 -1.7212e-02f
-4.54 -1.7611e-02f
-4.53 -1.7995e-02f
-4.52 -1.8366e-02f
-4.51 -1.8723e-02f
-4.5 -1.9066e-02f
-4.49 -1.9395e-02f
-4.48 -1.9711e-02f
-4.47 -2.0013e-02f
-4.46 -2.0301e-02f
-4.45 -2.0577e-02f
-4.44 -2.0839e-02f
-4.43 -2.1088e-02f
-4.42 -2.1324e-02f
-4.41 -2.1546e-02f
-4.4 -2.1756e-02f
-4.39 -2.1953e-02f
-4.38 -2.2137e-02f
-4.37 -2.2309e-02f
-4.36 -2.2468e-02f
-4.35 -2.2614e-02f
-4.34 -2.2749e-02f
-4.33 -2.2870e-02f
-4.32 -2.2980e-02f
-4.31 -2.3077e-02f
-4.3 -2.3162e-02f
-4.29 -2.3235e-02f
-4.28 -2.3297e-02f
-4.27 -2.3346e-02f
-4.26 -2.3384e-02f
-4.25 -2.3410e-02f
-4.24 -2.3424e-02f
-4.23 -2.3427e-02f
-4.22 -2.3418e-02f
-4.21 -2.3398e-02f
-4.2 -2.3367e-02f
-4.19 -2.3325e-02f
-4.18 -2.3271e-02f
-4.17 -2.3207e-02f
-4.16 -2.3131e-02f
-4.15 -2.3045e-02f
-4.14 -2.2948e-02f
-4.13 -2.2840e-02f
-4.12 -2.2721e-02f
-4.11 -2.2592e-02f
-4.1 -2.2453e-02f
-4.09 -2.2303e-02f
-4.08 -2.2143e-02f
-4.07 -2.1972e-02f
-4.06 -2.1792e-02f
-4.05 -2.1601e-02f
-4.04 -2.1400e-02f
-4.03 -2.1189e-02f
-4.02 -2.0969e-02f
-4.01 -2.0739e-02f
-4 -2.0499e-02f
-3.99 -2.0249e-02f
-3.98 -1.9990e-02f
-3.97 -1.9721e-02f
-3.96 -1.9443e-02f
